COMMON,0,MX0.0,X_吸嘴正極限
COMMON,1,MX0.1,X_吸嘴負極限
COMMON,2,MX0.2,Y_吸嘴正極限
COMMON,3,MX0.3,Y_吸嘴負極限
COMMON,4,MX0.4,Z_吸嘴正極限
COMMON,5,MX0.5,Z_吸嘴負極限
COMMON,6,MX0.6,X_點膠正極限
COMMON,7,MX0.7,X_點膠負極限
COMMON,8,MX1.0,Y_點膠正極限
COMMON,9,MX1.1,Y_點膠負極限
COMMON,10,MX1.2,Z_點膠正極限
COMMON,11,MX1.3,Z_點膠負極限
COMMON,12,MX1.4,Z_微調正極限
COMMON,13,MX1.5,Z_微調負極限
COMMON,14,MX1.6,θ-Y_微調正極限
COMMON,15,MX1.7,θ-Y_微調負極限
COMMON,0,MX2.0,θ-Z_微調正極限
COMMON,1,MX2.1,θ-Z_微調負極限
COMMON,2,MX2.2,X_吸嘴安全位置警告
COMMON,3,MX2.3,Y_吸嘴安全位置警告
COMMON,4,MX2.4,Z_吸嘴安全位置警告
COMMON,5,MX2.5,X_點膠安全位置警告
COMMON,6,MX2.6,Y_點膠安全位置警告
COMMON,7,MX2.7,Z_點膠安全位置警告
COMMON,8,MX3.0,Z_微調安全位置警告
COMMON,9,MX3.1,θ-Y_微調安全位置警告
COMMON,10,MX3.2,θ-Z_微調安全位置警告
COMMON,11,IX0.0,急停被按下
COMMON,12,IX1.1,光幕被遮擋
,13,MX3.5,
,14,MX3.6,
,15,MX3.7,
COMMON,0,MX4.0,馬達報警
,1,MX3.5,
COMMON,2,MX4.2,正壓未達到
COMMON,3,MX4.3,負壓未達到
COMMON,4,MX4.4,門被打開
COMMON,5,MX4.5,光幕被遮擋
,6,MX4.6,
,7,MX4.7,
,8,MX5.0,
,9,MX5.1,
,10,MX5.2,
,11,MX5.3,
,12,MX5.4,
,13,MX5.5,
,14,MX5.6,
,15,MX5.7,
SERIOUS,0,MX6.0,產品脫落
,1,MX6.1,
,2,MX6.2,
,3,MX6.3,
,4,MX6.4,
,5,MX6.5,
,6,MX6.6,
,7,MX6.7,
,8,MX7.0,
,9,MX7.1,
,10,MX7.2,
,11,MX7.3,
,12,MX7.4,
,13,MX7.5,
,14,MX7.6,
,15,MX7.7,
